name;price;unit_price;ean;nutriscore;promo;url
Fromage en Tranches;1,15 €;5.75 € / KG;3560070799305;;;https://www.carrefour.fr/p/fromage-en-tranches-3560070799305?t=36999
Fromage à raclette au lait cru REFLETS DE FRANCE;12,37 €;16.50 € / KG;3560070859276;;;https://www.carrefour.fr/p/fromage-a-raclette-au-lait-cru-reflets-de-france-3560070859276?t=36999
Fromage Fondants des Monts CARREFOUR ORIGINAL;3,69 €;18.45 € / KG;3560071424237;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-fondants-des-monts-carrefour-original-3560071424237?t=36999
Fromage Saint-Nectaire Laitier Bio CARREFOUR BIO;4,30 €;18.70 € / KG;3560071462567;;-10% CLUB;https://www.carrefour.fr/p/fromage-saint-nectaire-laitier-bio-carrefour-bio-3560071462567?t=36999
Fromage Beaufort AOP REFLETS DE FRANCE;5,50 €;27.50 € / KG;3560071511524;;;https://www.carrefour.fr/p/fromage-beaufort-aop-reflets-de-france-3560071511524?t=36999
Dés de cheddar Tex-Mex CARREFOUR CLASSIC';2,69 €;17.93 € / KG;3560071526474;D;-15% MARDI PASS;https://www.carrefour.fr/p/des-de-cheddar-tex-mex-carrefour-classic-3560071526474?t=36999
Gouda cumin CARREFOUR EXTRA;2,50 €;11.90 € / KG;3560071533410;D;-15% MARDI PASS;https://www.carrefour.fr/p/gouda-cumin-carrefour-extra-3560071533410?t=36999
Gouda jeune CARREFOUR CLASSIC;2,50 €;11.90 € / KG;3560071533441;D;-15% MARDI PASS;https://www.carrefour.fr/p/gouda-jeune-carrefour-classic-3560071533441?t=36999
Bleu d'Auvergne AOP CARREFOUR CLASSIC;2,50 €;12.50 € / KG;3560071533458;E;-15% MARDI PASS;https://www.carrefour.fr/p/bleu-d-auvergne-aop-carrefour-classic-3560071533458?t=36999
Cantal jeune CARREFOUR CLASSIC;2,50 €;12.50 € / KG;3560071533465;D;-15% MARDI PASS;https://www.carrefour.fr/p/cantal-jeune-carrefour-classic-3560071533465?t=36999
Fromage Râpé Cheddar CARREFOUR CLASSIC;2,99 €;11.96 € / KG;3560071533526;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-rape-cheddar-carrefour-classic-3560071533526?t=36999
Fromage en tranche à la raclette CARREFOUR CLASSIC';1,69 €;8.45 € / KG;3560071533533;E;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-en-tranche-a-la-raclette-carrefour-classic-3560071533533?t=36999
Fromage à raclette au piment CARREFOUR ORIGINAL;3,69 €;14.76 € / KG;3560071533571;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-a-raclette-au-piment-carrefour-original-3560071533571?t=36999
Fromage à raclette à la moutarde CARREFOUR ORIGINAL;3,69 €;14.76 € / KG;3560071533618;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-a-raclette-a-la-moutarde-carrefour-original-3560071533618?t=36999
