name;price;unit_price;ean;nutriscore;promo;url
Café turc SUNTAT;6,25 €;25.00 € / KG;8690804291890;U;;https://www.carrefour.fr/p/cafe-turc-suntat-8690804291890?t=39473
Café Moulu Dégustation GRAND'MERE;7,95 €;15.90 € / KG;8711000523452;;;https://www.carrefour.fr/p/cafe-moulu-degustation-grand-mere-8711000523452?t=39473
Café Moulu Ristretto Intensité 10 L'OR;9,09 €;18.18 € / KG;8711000547168;;;https://www.carrefour.fr/p/cafe-moulu-ristretto-intensite-10-l-or-8711000547168?t=39473
Chicorée Soluble aux Céréales RICORE;4,65 €;18.60 € / KG;3033710003228;A;;https://www.carrefour.fr/p/chicoree-soluble-aux-cereales-ricore-3033710003228?t=39473
Cappuccino Soluble Original NESCAFE;3,05 €;21.79 € / KG;3033710047765;C;;https://www.carrefour.fr/p/cappuccino-soluble-original-nescafe-3033710047765?t=39473
Chicorée Soluble Original RICORE;2,89 €;28.90 € / KG;3033710073467;A;;https://www.carrefour.fr/p/chicoree-soluble-original-ricore-3033710073467?t=39473
Café Soluble Original NESCAFE;7,99 €;39.95 € / KG;3033710074525;;;https://www.carrefour.fr/p/cafe-soluble-original-nescafe-3033710074525?t=39473
Café Soluble Décaféiné NESCAFE;8,39 €;41.95 € / KG;3033710074624;;;https://www.carrefour.fr/p/cafe-soluble-decafeine-nescafe-3033710074624?t=39473
Café Soluble Sélection NESCAFE;6,15 €;30.75 € / KG;3033710075225;;;https://www.carrefour.fr/p/cafe-soluble-selection-nescafe-3033710075225?t=39473
Café Soluble Sélection NESCAFE;4,29 €;42.90 € / KG;3033710075270;E;;https://www.carrefour.fr/p/cafe-soluble-selection-nescafe-3033710075270?t=39473
Chicorée Soluble nature soluble LEROUX;4,25 €;21.25 € / KG;3067140013120;B;;https://www.carrefour.fr/p/chicoree-soluble-nature-soluble-leroux-3067140013120?t=39473
Chicorée Soluble Original RICORE;3,85 €;21.39 € / KG;7613034227775;A;;https://www.carrefour.fr/p/chicoree-soluble-original-ricore-7613034227775?t=39473
Chicorée Soluble Noir Intense RICORE;7,25 €;30.21 € / KG;7613034541239;B;;https://www.carrefour.fr/p/chicoree-soluble-noir-intense-ricore-7613034541239?t=39473
Café Soluble Espresso Intenso NESCAFE;5,99 €;63.05 € / KG;7613034870971;;;https://www.carrefour.fr/p/cafe-soluble-espresso-intenso-nescafe-7613034870971?t=39473
Café Soluble Spécial Filtre Bio NESCAFE;5,89 €;65.44 € / KG;7613287872302;;;https://www.carrefour.fr/p/cafe-soluble-special-filtre-bio-nescafe-7613287872302?t=39473
Cappuccino Soluble Viennois NESCAFE;5,05 €;16.50 € / KG;8000300211368;D;;https://www.carrefour.fr/p/cappuccino-soluble-viennois-nescafe-8000300211368?t=39473
Cappuccino Soluble Vanille NESCAFE;5,15 €;18.66 € / KG;8445290549969;C;;https://www.carrefour.fr/p/cappuccino-soluble-vanille-nescafe-8445290549969?t=39473
Café Soluble Décaféiné MAXWELL HOUSE;2,69 €;59.78 € / KG;8711000522547;;;https://www.carrefour.fr/p/cafe-soluble-decafeine-maxwell-house-8711000522547?t=39473
Café Soluble Qualité Filtre MAXWELL HOUSE;5,79 €;32.17 € / KG;8711000523858;;;https://www.carrefour.fr/p/cafe-soluble-qualite-filtre-maxwell-house-8711000523858?t=39473
Café Soluble Equilibré et Aromatique L'OR;2,29 €;50.89 € / KG;8711000673256;;;https://www.carrefour.fr/p/cafe-soluble-equilibre-et-aromatique-l-or-8711000673256?t=39473
Chicorée Soluble au Lait RICORE;6,25 €;15.62 € / KG;3033710071005;A;;https://www.carrefour.fr/p/chicoree-soluble-au-lait-ricore-3033710071005?t=39473
Café Soluble 100% Robusta NESCAFE;6,15 €;30.75 € / KG;3033710077274;;;https://www.carrefour.fr/p/cafe-soluble-100-robusta-nescafe-3033710077274?t=39473
Cappuccino Soluble Original NESCAFE;5,05 €;18.04 € / KG;7613032568436;C;;https://www.carrefour.fr/p/cappuccino-soluble-original-nescafe-7613032568436?t=39473
Café Soluble Classique CARTE NOIRE;8,39 €;58.26 € / KG;8000070016699;;;https://www.carrefour.fr/p/cafe-soluble-classique-carte-noire-8000070016699?t=39473
Café Soluble Gold CARREFOUR EXTRA;2,85 €;28.50 € / KG;3560071275808;;-15% MARDI PASS;https://www.carrefour.fr/p/cafe-soluble-gold-carrefour-extra-3560071275808?t=39473
Chicorée en Grains Torréfiée LEROUX;2,35 €;4.52 € / KG;3067140036266;;;https://www.carrefour.fr/p/chicoree-en-grains-torrefiee-leroux-3067140036266?t=39473
Chicorée Soluble Original RICORE;5,75 €;22.12 € / KG;7613035676497;A;;https://www.carrefour.fr/p/chicoree-soluble-original-ricore-7613035676497?t=39473
Café Soluble Classique CARTE NOIRE;8,39 €;46.61 € / KG;8000070044166;;;https://www.carrefour.fr/p/cafe-soluble-classique-carte-noire-8000070044166?t=39473
Café Soluble Espresso Bio CARREFOUR BIO;4,49 €;44.90 € / KG;3560071492755;;-10% CLUB;https://www.carrefour.fr/p/cafe-soluble-espresso-bio-carrefour-bio-3560071492755?t=39473
